company_name,hq_location,description,founded_date,founders,num_employees,funding_status,last_funding_date,last_funding_type,estimated_revenue,website,description_full,last_funding_amount,top_5_investors,total_funding_amount,acquired_by,acquired_date,acquired_price,ipo_status,ipo_date,stock_symbol
Forter,"New York,New York,United States","Forter offers a fraud solution that helps retailers grow sales, lower costs, and improve customer experience via its Decision as Service.",2013,"Alon Shemesh,Liron Damri,Liron Damri,Michael Reitblat",251-500,Late Stage Venture,"Jul 1, 2022",Secondary Market,$100M to $500M,www.forter.com,"Forter is a company that delivers real-time, completely automated, fraud prevention solutions for online merchants. It creates a completely fraud-free environment for the retailers through which they have the ability to make decisions that are solely based on what is good for their business. The company’s system is designed to be consumer-centric, blocking fraud with accuracy, and at the same time enabling growth by increasing approvals and ensuring a better customer experience.",—,"Adage Capital Management,L Catterton,Bessemer Venture Partners,Scale Venture Partners,New Enterprise Associates","$525,101,500",—,—,—,Private,—,—
Lyft,"San Francisco,California,United States","Lyft designs, markets, and operates a mobile application that matches drivers with passengers who request rides.","May 22, 2012","John Zimmer,Logan Green,Matt Van Horn",5001-10000,IPO,"Feb 21, 2024",Post-IPO Debt,$1B to $10B,lyft.com,"Lyft designs, markets, and operates a mobile application that matches drivers with passengers who request rides, and also allows payment through the app. It also allows riders to schedule rides up to seven days in advance.Its services are primarily focused on college, university, and corporate communities. Lyft is a fast-growing ridesharing company in the U.S. and is available to 95 percent of the US population.Lyft was founded in June 2012 by Logan Green and John Zimmer in San Francisco, California.","$400,000,000","Fidelity,Alibaba Group,General Motors,Tencent,Andreessen Horowitz","$5,313,606,778",—,—,—,Public,"Mar 29, 2019",LYFT
Automattic,"San Francisco,California,United States","The people behind WordPress.com, WooCommerce, Jetpack, WordPress VIP, Tumblr, Day One, Newspack, and more.",2005,Matt Mullenweg,1001-5000,—,"Feb 17, 2021",Venture - Series Unknown,$100M to $500M,automattic.com,"We are the people behind WordPress.com, WooCommerce, Jetpack, WordPress VIP, Simplenote, Longreads, The Atavist, WPScan, Akismet, Gravatar, Crowdsignal, Cloudup, Tumblr, Day One, Pocket Casts, Newspack, and more. We believe in making the web a better place.We’re a distributed company with 1,945 Automatticians in 95 countries speaking 120 different languages. We’re committed to diversity, equity, and inclusion, and our common goal is to democratize publishing and commerce so that anyone with a story can tell it, and anyone with a product can sell it, regardless of income, gender, politics, language, or where they live in the world.We believe in Open Source and the vast majority of our work is available under the GPL.","$288,000,000","ICONIQ Capital,Polaris Partners,BlackRock,The New York Times,ICONIQ Growth","$985,900,000",—,—,—,Private,—,—
Melio,"New York,New York,United States",Melio is a fintech company that gives small businesses a way to digitally manage their business-to-business payments and receivables.,"Jul 1, 2018","Ilan Atias,Matan Bar,Ziv Paz",501-1000,Late Stage Venture,"Sep 14, 2021",Series D,$1M to $10M,www.meliopayments.com,"Melio is a fintech company that gives small businesses a way to digitally manage their business-to-business payments and receivables. It was built to help small businesses keep up with business. A B2B payments experience that not only saves time but also significantly improves cash flow. A payment workflow so simple it helps businesses focus on their customers, not their back office.It was founded in 2018 and is based in New York, New York.","$250,000,000","Intuit,General Catalyst,Thrive Capital,Bessemer Venture Partners,Accel","$504,000,000",—,—,—,Private,—,—
Grubhub,"Chicago,Illinois,United States",Grubhub is a online and mobile food ordering and delivery marketplace dedicated to connecting diners with local restaurants.,2004,"Jason Finger,Matt Maloney,Mike Evans",1001-5000,M&A,"Jul 6, 2022",Post-IPO Equity,$100M to $500M,www.grubhub.com,"GrubHub is an online and mobile food-ordering and delivery marketplace with a comprehensive network of restaurant partners, as well as nearly 24 million active diners. Dedicatedto connecting diners with the food they love from their favorite local restaurants, Grubhub elevates food ordering through innovative restaurant technology, easy-to-use platforms, and an improved delivery experience. Grubhub features nearly 300,000 restaurants and is proud to partner with more than 200,000 of these restaurants in over 4,000 U.S. cities. The Grubhub portfolio of brands includes Grubhub, Seamless, LevelUp, AllMenus, and MenuPages.",—,"Amazon,Lightspeed Venture Partners,T. Rowe Price,Benchmark,Yum!","$284,100,000",Just Eat Takeaway,"Jun 10, 2020","$7,300,000,000",Public,"Apr 7, 2014",GRUB
Tinder,"West Hollywood,California,United States",Tinder anonymously finds people nearby that like each other and connects them if they are both interested.,"Sep 1, 2012","Christopher Gulczynski,Dinesh Moorjani,Jonathan Badeen,Justin Mateen,Sean Rad,Whitney Wolfe Herd",501-1000,—,"Oct 10, 2017",Venture - Series Unknown,$10M to $50M,www.tinder.com,"Tinder anonymously finds people nearby that like each other and connects them if they are both interested.Every time you open Tinder, you’ll immediately see new, interesting people nearby, along with friends or interests you have in common. Swipe right to like or left to pass on each person’s profile. All swipes are anonymous. No one will ever know you’ve passed on their profile. Only once you’ve both swiped right on each other will your newfound match be revealed.",—,"Benchmark,IAC","$50,000,000",—,—,—,Private,—,—
Collibra,"Brussels,Brussels Hoofdstedelijk Gewest,Belgium",Collibra delivers an end-to-end Data Intelligence platform to accelerate digital business transformation.,"Jun 19, 2008","Damien Trog,Felix Van De Maele,Pieter De Leenheer,Stijn Christiaens",1001-5000,—,"Jan 11, 2022",Venture - Series Unknown,$10M to $50M,www.collibra.com,"Collibra delivers an end-to-end Data Intelligence platform to accelerate digital business transformation. Collibra accelerates trusted business outcomes by connecting the right data, insights, and algorithms to all Data Citizens. The company's platform breaks down traditional data silos and opens up organizational data, providing trustworthy business intelligence, enabling users to find the data they need, collaborate on it, and easily understand its meaning.It was founded in 2008 and headquartered in Hoofdstedelijk Gewest, Belgium.",—,"ICONIQ Capital,ICONIQ Growth,CapitalG,Sofina,Tiger Global Management","$596,486,133",—,—,—,Private,—,—
Epic Games,"Cary,North Carolina,United States",Epic Games is an interactive entertainment company that develops games and offers its game engine technology to other developers.,1991,"Mark Rein,Tim Sweeney",1001-5000,—,"Feb 20, 2024",Secondary Market,$1B to $10B,www.epicgames.com,"Epic Games is an American video game and software company that creates games and offers its game engine technology to other developers. It specializes in developing games, and engine technology and operates a game store that empowers others to make quality games and 3D content, thereby providing game developers the ability to build high-fidelity, interactive experiences for PC, console, mobile, and virtual reality devices.",—,"Fidelity,Tencent,The Walt Disney Company,BlackRock,Franklin Templeton","$7,860,000,000",—,—,—,Private,—,—
Brex,"San Francisco,California,United States","Brex is the first fully unified global spend platform — with corporate cards, expense management, reimbursements, and bill pay.",Mar 2017,"Henrique Dubugras,Pedro Franceschi",1001-5000,Late Stage Venture,"May 18, 2022",Series D,$100M to $500M,brex.com,"Brex is a spend platform that includes corporate cards, cost management, reimbursements, and bill pay.",—,"TCV,Y Combinator,Kleiner Perkins,Caffeinated Capital,Exor Ventures","$1,457,120,000",—,—,—,Private,—,—
Flutterwave,"San Francisco,California,United States",Flutterwave is a fintech company that provides payment solutions for businesses.,2016,"Iyinoluwa Aboyeji,Olugbenga Agboola",251-500,Late Stage Venture,"Mar 7, 2023",Secondary Market,$100M to $500M,www.flutterwave.com,"Flutterwave provides a payment infrastructure for merchants and payment service providers. They offer an online marketplace for businesses to list their products and services for sale.  They provide payment tools, including a smart payment ordering system for businesses to accept payments.",—,"Mastercard,Y Combinator,Endeavor,Visa,B Capital","$509,530,000",—,—,—,Private,—,—
Sky Mavis,"Singapore,Central Region,Singapore",Sky Mavis is a technology company that creates decentralized applications and services.,"Apr 24, 2019","Aleksander Leonard Larsen,Jeffrey Zirlin",101-250,Late Stage Venture,"Apr 6, 2022",Series C,$1B to $10B,www.Skymavis.com,"Sky Mavis is a technology company that creates decentralized applications and services. They specialize in the fields of information technology, blockchain, video game, and more.","$150,000,000","Hashed,Animoca Brands,Andreessen Horowitz,BlockTower Capital,500 Global","$311,000,000",—,—,—,Private,—,—
Pure Storage,"Santa Clara,California,United States",Pure Storage is an all-flash enterprise storage company that enables broad deployment of flash in data centers.,"Sep 1, 2009","John Colgrove,John Hayes,Mike Speiser",5001-10000,IPO,"Aug 11, 2014",Secondary Market,$100M to $500M,www.purestorage.com,"Pure Storage is pioneering a new class of enterprise storage that has been designed from the ground up to take full advantage of flash memory. The company's products accelerate random I/O-intensive applications like server virtualization, desktop virtualization (VDI), database (OLTP, rich analytics/OLAP, SQL, NoSQL), and cloud computing.Pure Storage makes it cost-effective to broadly deploy flash within the data center, enabling organizations to manage growth within existing power and space constraints. Launching later this year, the company's products are in private beta with select customers. Pure Storage is funded by Greylock Partners and Sutter Hill Ventures.","$60,000,000","Sutter Hill Ventures,T. Rowe Price,Employee Stock Option Fund,Wellington Management,Samsung Ventures","$529,256,472",—,—,—,Public,"Oct 6, 2015",PSTG
Mindbody Business,"Miami Beach,Florida,United States","Mindbody is a wellness experience platform that allows clients to find and engage with fitness, beauty, and integrative health services.",2001,"Blake Beltram,Harry Stollmeyer,Robert Murphy,Vivek Sudarsan",1001-5000,M&A,"Oct 13, 2021",Private Equity,$100M to $500M,www.mindbodyonline.com,"Mindbody is a wellness experience platform that connects users to fitness, beauty, and integrative health services. Fitness studios, salons, spas, and integrative health centers—use Mindbody's integrated software and payments platform to run, market, and grow their businesses. Consumers use Mindbody to find, engage, and transact with wellness providers in their local communities and around the world.Mindbody helps people lead healthier, happier lives by connecting the world to wellness. It was founded in 2001 and headquartered in San Luis Obispo, California.","$500,000,000","Sixth Street,Bessemer Venture Partners,Lead Edge Capital,IVP,Tech Coast Angels","$614,469,760",Vista Equity Partners,"Dec 24, 2018","$1,900,000,000",Delisted,"Jun 20, 2015",MB
Contentful,"Berlin,Berlin,Germany",Contentful offers a headless content management system that helps organizations deliver content across channels.,2013,"Paolo Negri,Sascha Konietzke",501-1000,Late Stage Venture,"Jul 28, 2021",Series F,$1M to $10M,www.contentful.com,"Contentful, the content platform for digital-first business, helps 30% of the Fortune 500 and thousands of brands around the world create and manage digital experiences for their customers across any channel. It enables greater speed and scale than traditional CMS solutions. Contentful unifies content in a single hub, structures it for use in any digital channel, and integrates seamlessly with hundreds of other tools through open APIs. Companies such as Chanel, Bang & Olufsen, Shiseido, Shopify, BP, and many others rely on Contentful’s platform.","$175,000,000","Hercules Capital,General Catalyst,Benchmark,Tiger Global Management,Sapphire Ventures","$349,600,000",—,—,—,Private,—,—
Tanium,"Kirkland,Washington,United States",Tanium is a security and systems management platform allowing real-time data collection at an enterprise scale.,2007,"David Hindawi,Orion Hindawi",1001-5000,—,"Sep 15, 2021",Venture - Series Unknown,$500M to $1B,www.tanium.com,"Tanium is a security and systems management platform that allows real-time data collection at an enterprise scale. It provides enterprise and government organizations with tools to secure, control, and manage millions of endpoints across the enterprise within seconds. The platform allows security and IT operations teams to get access to visibility and accurate information on the state of endpoints at all times to protect against modern-day disruptions and realize new levels of business resilience.Tanium was founded by David Hindawi and Orion Hindawi in 2007 and is headquartered in Kirkland, Washington, United States.","$500,000","Fidelity,TPG,Andreessen Horowitz,Franklin Templeton,T. Rowe Price","$1,050,491,919",—,—,—,Private,—,—
Color,"Burlingame,California,United States","Color is a healthcare delivery platform that offers cancer prevention, screening programs, and healthcare services for people.",2013,"Elad Gil,Nish Bhat,Othman Laraki,Taylor Sittler",501-1000,Late Stage Venture,"Nov 9, 2021",Series E,$100M to $500M,www.color.com,"Color is a complete platform for healthcare delivery from population genomics programs to high-throughput COVID-19 testing, Color provides the technology and infrastructure for large-scale health initiatives.Equitable, accessible healthcare programs.We bring together everything that’s required to run a large-scale healthcare program for your business, school, or state. Color’s products and services allow you to provide access to preventive healthcare programs whether your population is in one office or spread out across the country.","$100,000,000","General Catalyst,T. Rowe Price,Khosla Ventures,Viking Global Investors,Emerson Collective","$482,000,000",—,—,—,Private,—,—
BrowserStack,"Dublin,Dublin,Ireland",BrowserStack is a software testing platform powering over two million tests every day across 15 global data centers.,"Sep 1, 2011","Nakul Aggarwal,Ritesh Arora",501-1000,Early Stage Venture,"Jun 16, 2021",Series B,$10M to $50M,www.browserstack.com/,"BrowserStack is a software testing platform powering over two million tests every day across 15 global data centers. It helps Microsoft, Twitter, Barclays, Expedia, and over 25,000 customers deliver quality software at speed by moving testing to their Cloud. Its platform provides instant access to 2,000+ real mobile devices and browsers on a highly reliable cloud infrastructure that effortlessly scales as testing needs grow. With BrowserStack, Dev and QA teams can move fast while delivering an amazing experience for every customer. Founded in 2011, BrowserStack is a privately held company backed by Accel with offices in San Francisco, Mumbai, and Dublin.","$200,000,000","Insight Partners,Accel,Bond","$250,000,000",—,—,—,Private,—,—
TransUnion,"Chicago,Illinois,United States","TransUnion provides total credit protection all in one place from credit alerts, credit reports and credit scores.",1968,—,5001-10000,M&A,"Apr 26, 2018",Post-IPO Debt,$1B to $10B,www.transunion.com,"Total credit protection all in one place from credit alerts, credit reports and credit scores. Get your free credit score today from TransUnion, The Source!","$1,400,000,000","QED Investors,Mangrove Capital Partners","$1,407,250,806",Advent International,"Apr 1, 2012","$3,000,000,000",Public,"Jun 25, 2015",TRU
Houzz,"Palo Alto,California,United States","Houzz is an online platform for home remodeling, architecture, interior design, decorating, landscaping, and home improvement.",2009,"Adi Tatarko,Alon Cohen",1001-5000,—,"Jan 3, 2021",Venture - Series Unknown,$500M to $1B,www.houzz.com,"Houzz is the leading platform for home remodeling and design, providing people with everything they need to improve their homes from start to finish – online or from a mobile device. From decorating a small room to building a custom home and everything in between, Houzz connects millions of homeowners, home design enthusiasts and home improvement professionals across the country and around the world. With the largest residential design database in the world and a vibrant community empowered by technology, Houzz is the easiest way for people to find inspiration, get advice, buy products and hire the professionals they need to help turn their ideas into reality. Headquartered in Palo Alto, CA, Houzz also has international offices in London, Berlin, Sydney, Moscow, Bangalore, Tel Aviv and Tokyo.",—,"Sequoia Capital,T. Rowe Price,ICONIQ Growth,Kleiner Perkins,Comcast Ventures","$613,600,000",—,—,—,Private,—,—
Macy's,"New York,New York,United States","Macy’s is an omnichannel retailer of beauty, fashion, home decor, and more products.","Oct 28, 1858",Rowland Hussey Macy,10001+,IPO,"Oct 14, 2021",Post-IPO Equity,$10B+,www.macysinc.com,"Macy’s is an omnichannel retailer of beauty, fashion, home decor, and more products. With fiscal 2016 sales of $25.778 billion and approximately 140,000 employees, the company operates more than 700 department stores under the nameplates Macy’s and Bloomingdale’s, and approximately 125 specialty stores that include Bloomingdale’s The Outlet, Bluemercury, and Macy’s Backstage. Macy’s, Inc. operates stores in 45 states, the District of Columbia, Guam, and Puerto Rico, as well as macys.com, bloomingdales.com, and bluemercury.com. Bloomingdale’s stores in Dubai and Kuwait are operated by Al Tayer Group LLC under license agreements. Macy’s, Inc. has corporate offices in Cincinnati, Ohio, and New York, New York. Prior to June 1, 2007, Macy’s, Inc. was known as Federated Department Stores, Inc. The company’s shares are traded under the symbol “M” on the New York Stock Exchange.",—,JANA Partners,"$4,500,000,000",—,—,—,Public,"Feb 14, 1992",M
Hallow,"Chicago,Illinois,United States",Hallow is a Catholic prayer and meditation app that hopes to help people grow closer to God.,"Jun 21, 2018","Alessandro DiSanto,Alex Jones,Erich Kerekes",101-250,Late Stage Venture,"May 18, 2023",Series C,$10M to $50M,www.hallow.com,"Hallow is a Catholic prayer and meditation app that hopes to help folks grow closer to God. It helps in finding peace, deepen the relationship with God, and sleeping soundly every night. It was founded in 2018 and is based in Chicago, Illinois.","$50,000,000","General Catalyst,Uncork Capital,Drive Capital,Highland Capital Partners,FJ Labs","$105,000,000",—,—,—,Private,—,—
Podium,"Lehi,Utah,United States",Podium is a customer communication platform for businesses who interact with customers on a local level.,2014,"Dennis Steele,Eric Rea",1001-5000,—,"Oct 31, 2022",Venture - Series Unknown,$100M to $500M,www.podium.com,"Podium is a computer software company that offers a customer communication platform for businesses that interact with customers on a local level. It features an interaction management platform that utilizes messaging features designed for businesses to interact with their leads, customers, and teams.",—,"Y Combinator,Google Ventures,Summit Partners,Accel,Sapphire Ventures","$419,120,000",—,—,—,Private,—,—
Chewy,"Dania,Florida,United States",Chewy.com delivers pet happiness by conveniently shipping over 500 brands of pet food and goodies for free.,"Jun 1, 2011","Michael Day,Ryan Cohen",10001+,M&A,"Apr 4, 2017",Series F,$1B to $10B,www.chewy.com,"At Chewy, we view pets (and pet parents) as family and are obsessed with meeting their needs and exceeding customer expectations through every interaction.  Customers love shopping our wide selection of products including more than 65,000 items (including our Private brands and Healthcare products), which we offer at competitive prices and fast 1-2 day shipping. Chewy’s commitment to customer service is the core of our brand, and our customers love us for it. We “WOW” pet parents through 24/7 assistance, advice and encouragement every day of the year. We make pet parenting easy with our convenient Autoship subscription program—which allows our customers to schedule their orders, so they never run out of their pet food, supplies and medication they need. Chewy is an experience company built on the back of product and technology. Innovation drives our operations and our team is constantly striving to find new and better ways to improve. From an easy-to-navigate website and highly-rated mobile apps, to detailed order tracking and personalized “Pet Profile” features, we are transforming the way pet parents shop.","$125,000,000","BlackRock,Volition Capital,Verlinvest,Allen & Company,Lone Pine Capital","$451,000,000",PetSmart,"Apr 18, 2017","$3,350,000,000",Public,"Jun 13, 2019",CHWY
Cross River Bank,"Fort Lee,New Jersey,United States",Cross River Bank is a financial institution that offers technology and banking services to consumers and businesses.,2008,Gilles Gade,501-1000,Late Stage Venture,"Mar 30, 2022",Series D,—,crossriver.com,"Cross River Bank combines innovative technologies with the expertise of a bank to create new services and solutions for fintech companies that are redefining global financial services. In addition to traditional banking, the company has developed partnerships with financial technology leaders to build compliant and integrated products for the marketplace lending and payment processing arenas.","$620,000,000","Andreessen Horowitz,T. Rowe Price,VCI Global,Eldridge Industries,Ribbit Capital","$908,000,000",—,—,—,Private,—,—
OwnBackup,"Englewood Cliffs,New Jersey,United States",OwnBackup provides backup and recovery solutions for companies that use Salesforce.,2012,"Ariel Berkman,Daniel Gershuni,Eran Cohen",251-500,Late Stage Venture,"Aug 10, 2021",Series E,$100M to $500M,www.ownbackup.com,"OwnBackup is a provider of cloud data protection and backup system for companies using Salesforce. The cloud-to-cloud backup and restore vendor, provides secure, automated, daily backups of SaaS and PaaS data, as well as data to compare and restore tools for disaster recovery. It helps more than 2,000 businesses protect critical cloud data, OwnBackup covers data loss and corruption caused by human errors, malicious intent, integration errors, and rogue applications. Built for security and privacy, OwnBackup exceeds the General Data Protection Regulation (GDPR) requirements for backed-up data. Co-founded by seasoned data-recovery, data-protection, and information-security experts, OwnBackup is a top-rated backup and restore ISV on Salesforce AppExchange and was awarded the Salesforce Appy Award in 2018.","$240,000,000","B Capital,Vertex Ventures,Insight Partners,Tiger Global Management,Sapphire Ventures","$507,250,000",—,—,—,Private,—,—
Stripe,"South San Francisco,California,United States",Stripe is an API technology company that provides online payment processing and commerce solutions for Internet businesses.,2010,"John Collison,Patrick Collison",5001-10000,Late Stage Venture,"Feb 20, 2024",Secondary Market,$10B+,www.stripe.com,"Stripe is a technology company that builds economic infrastructure for the Internet.Businesses of every size, from new startups to public companies like Salesforce and Facebook, use the company’s software to accept online payments and run complex global operations. The company combines economic infrastructure with a set of applications for new business models like crowdfunding and marketplaces, fraud prevention, analytics, and more. Stripe navigates global regulatory uncertainty and partners closely with internet leaders like Apple, Google, Alipay, Tencent, Facebook, and Twitter to launch new capabilities.",—,"Fidelity,Google,Andreessen Horowitz,Sequoia Capital,General Catalyst","$8,746,087,947",—,—,—,Private,—,—
Druva,"Sunnyvale,California,United States","Druva delivers a SaaS-based platform to protect and manage enterprise data across endpoint, data center and cloud workloads.","Aug 2, 2008","Jaspreet Singh,Milind Borate,Ramani Kothandaraman",501-1000,Late Stage Venture,"Apr 19, 2021",Series H,$10M to $50M,www.druva.com,"Druva™ delivers data protection and management for the cloud era. Druva Cloud Platform is built on AWS and offered as-a-Service; delivering globally accessible, infinitely scalable and completely autonomous enterprise data resiliency. Customers drive down costs by up to 50 percent by freeing themselves from the burden of unnecessary hardware, capacity planning, and software management.Druva’s patented cloud architecture transforms backup data into an asset, making it more open and accessible so customers can streamline governance, improve cyber resiliency, and gain critical insights to uncover opportunities and expedite decision making.","$147,000,000","Hercules Capital,Neuberger Berman,Viking Global Investors,Nexus Venture Partners,Indian Angel Network","$475,000,000",—,—,—,Private,—,—
AT&T,"Dallas,Texas,United States",AT&T is a telecommunications company.,"Oct 5, 1983","Alexander Graham Bell,Gardiner Greene Hubbard,Thomas Sanders",10001+,IPO,"Feb 12, 2024",Grant,$10B+,www.att.com,"AT&T is a telecommunications company. This company provides wireless communications, local exchange, and long-distance services for consumers and businesses.","$42,300,000","National Telecommunications and Information Administration,Kansas Office of Broadband Development","$44,500,000",—,—,—,Public,"Dec 2, 1983",T
Anthropic,"San Francisco,California,United States",Anthropic is an AI safety and research company that focuses on increasing the safety of large-scale AI systems.,2021,"Daniela Amodei,Dario Amodei,Jack Clark,Jared Kaplan,Sam McCandlish,Tom Brown",51-100,Late Stage Venture,"Dec 23, 2023",Series D,$500M to $1B,www.anthropic.com,"Anthropic is an AI-driven research company that focuses on increasing the safety of AI systems. Its research interests span multiple areas including natural language, human feedback, scaling laws, reinforcement learning, code generation, and interpretability. The initial product from the company is Claude, an AI helper for tasks of any size.",—,"Amazon,SAP,Google,Raison,SK Telecom","$7,554,000,000",—,—,—,Private,—,—
Nordstrom,"Seattle,Washington,United States",Nordstrom is an online fashion retailer that offers a selection of brand names and private label merchandise.,1901,"Bob Schwartz,John W. Nordstrom",10001+,IPO,"Feb 3, 2023",Post-IPO Equity,$1B to $10B,www.nordstrom.com,"Nordstrom operates as a fashion specialty retailer that offers apparel, shoes, cosmetics, and accessories for women, men, and children in the United States. It features a selection of brand names and private label merchandise. The company sells its products through various channels, including Nordstrom full-line stores, Nordstrom Rack off-price stores, Last Chance clearance stores, and Jeffrey boutiques; and through catalogs and the Internet. The company also provides a private label card, two Nordstrom VISA credit cards, and a debit card for Nordstrom purchases. Its credit and debit cards feature a shopping-based loyalty program. Nordstrom also designs and contracts to manufacture private-label merchandise sold in its retail stores.",—,"STORY3 Capital Partners,El Puerto de Liverpool,Ryan Cohen","$968,620,001",—,—,—,Public,"Feb 24, 2016",JWN
Snowflake,"San Mateo,California,United States",Snowflake is a cloud data platform that provides a data warehouse-as-a-service designed for the cloud.,"Jan 1, 2012","Benoit Dageville,Marcin Zukowski,Thierry Cruanes",1001-5000,IPO,"Apr 19, 2022",Post-IPO Equity,$1B to $10B,www.snowflake.com,"Snowflake is a cloud data platform that provides a data warehouse-as-a-service designed for the cloud.The platform is built for the cloud, focusing on instant, secure, governed access to an entire network of data, and is built to enable a variety of data workloads, including a single platform for developing modern data applications. It combines the power of data warehousing, the flexibility of big data platforms, and the elasticity of the cloud at a fraction of the cost of traditional solutions.The company was co-founded by Thierry Cruanes, Marcin Zukowski, Bob Muglia, and Benoit Dageville in 2012 and is headquartered in San Mateo, California.","$621,456,438","Sutter Hill Ventures,Sequoia Capital,ICONIQ Growth,Madrona,Dragoneer Investment Group","$2,029,355,548",—,—,—,Public,"Aug 5, 2022",1SNOW
DoorDash,"San Francisco,California,United States",DoorDash is a food delivery platform that connects customers with local and national business.,Jan 2013,"Andy Fang,Evan Moore,Stanley Tang,Tony Xu",10001+,IPO,"Jun 11, 2020",Series H,$10B+,www.doordash.com,"Doordash provides restaurant food delivery services connecting customers with local businesses. The company is passionate about transforming local businesses and is dedicated to enabling new ways of working, earning, and living. By building the last-mile delivery infrastructure for local cities  Doordash is bringing communities closer. It connects customers with their favorite local and national restaurants and Fang, Evan Moore, Stanley Tang, and Tony Xu launched the company as PaloAltoDelivery.com in 2013, which became DoorDash, Inc. in October 2014.","$400,000,000","Fidelity,Sequoia Capital,Y Combinator,Pear VC,T. Rowe Price","$2,471,820,000",—,—,—,Public,"May 20, 2022",DD2
Life360,"San Francisco,California,United States",Life360 creates a mobile app for families that helps families feel closer together.,2008,"Alex Haro,Chris Hulls,Dilpreet Singh",101-250,IPO,"Nov 21, 2022",Post-IPO Equity,$100M to $500M,www.life360.com,"Life360 is a platform for today’s busy families, bringing them closer together by helping them better sync, communicate with, and protect the people they care about most. Their mobile app provides millions of families in over 140 countries with services such as private location sharing, location history, drive details, crash detection, roadside assistance and help alerts through our free and paid membership subscription. Life360 has raised +$100M from Bessemer Venture Partners, DCM, Fontinalis Partners, BMW iVentures, Allstate, Bullpen Capital, Founders Fund (FF Angel), Launch Capital, Kapor Capital, and 500 startups. Founded in 2008, Life360 is based in San Francisco with offices in San Diego, Las Vegas, and Ft. Lauderdale.","A$50,000,000","Google,500 Global,ADT,DCM Ventures,Plug and Play","$140,236,268",—,—,—,Public,"May 10, 2019",360
Circle,"Boston,Massachusetts,United States",Circle is a financial technology firm that utilizes stablecoins for payments and e-commerce.,2013,"Jeremy Allaire,Sean Neville",501-1000,Seed,"Jan 1, 2024",Seed,$1B to $10B,www.circle.com,"Circle is a financial technology firm that utilizes stablecoins for payments and e-commerce. Circle uses blockchain technology with Circle Pay to ease and improve how users send money.Circle expands its services with a crypto-currency investment product with Circle Invest, enabling anyone to buy and sell crypto assets. It provides crypto-coins and offers OTC trading services via Circle Trade. Its crypto-trading desk provides one of the largest global liquidity pools for digital asset trading and averages $2 billion in monthly volume.Jeremy Allaire and Sean Neville founded Circle in 2013. $140 million from investors including Jim Breyer (Facebook), Goldman Sachs, IDG Capital (Baidu, Tencent), General Catalyst (AirBnB, Snapchat) and Accel Partners backs the company, with its headquarters in Boston, and branches in New York, San Francisco, Dublin, London, and Hong Kong.",—,"Fidelity,Coinbase,General Catalyst,Alumni Ventures,Digital Currency Group","$1,121,000,000",—,—,—,Private,—,—
Alchemy,"San Francisco,California,United States",Alchemy is a developer platform that helps companies to build reliable decentralized applications.,Aug 2017,"Joseph Lau,Nikil Viswanathan",101-250,Late Stage Venture,"Feb 8, 2022",Series C,$50M to $100M,alchemy.com,Alchemy is a web3 developer platform that helps companies to build reliable decentralized applications. Its mission is to provide developers with the fundamental building blocks they need to create the future of technology without the hassle of managing blockchain infrastructure in-house.,"$200,000,000","Silver Lake,Andreessen Horowitz,Stanford University,Lightspeed Venture Partners,SignalFire","$563,903,667",—,—,—,Private,—,—
Calendly,"Atlanta,Georgia,United States","Calendly is a modern scheduling platform that helps individuals, teams, and organizations automate meeting by removing the back and forth.",2013,Tope Awotona,501-1000,Early Stage Venture,"Jan 26, 2021",Series B,$50M to $100M,calendly.com,"Calendly helps individuals, teams, and organizations globally automate the meeting lifecycle by removing the scheduling back and forth. Calendly enables companies to close deals, hire candidates, build relationships, and grow their business—faster. More than 20 million users across 230 countries use Calendly to simplify meetings and collaborate more effectively and efficiently. To learn more, visit Calendly.com.","$350,000,000","ICONIQ Capital,ICONIQ Growth,Atlanta Ventures,OpenView","$350,550,000",—,—,—,Private,—,—
Zoom,"San Jose,California,United States","Zoom is a software company that offers a communications platform that connects people through video, voice, chat, and content sharing.",2011,Eric Yuan,5001-10000,IPO,"Nov 4, 2021",Post-IPO Equity,$500M to $1B,zoom.us,"Zoom is a software company that offers a communications platform that connects people through video, voice, chat, and content sharing. It has an easy, reliable cloud platform for video and audio conferencing, collaboration, chat, and webinars across mobile devices, desktops, telephones, and room systems. Zoom unifies cloud video conferencing, simple online meetings, and group messaging into one easy-to-use platform. The company's mission is to create a people-centric cloud service that transforms the real-time collaboration experience and improves the quality and effectiveness of communications.Zoom was founded in 2011 and is headquartered in San Jose, California, United States.","$130,000,000","Sequoia Capital,DCVC,Emergence,Horizons Ventures,Qualcomm Ventures","$276,000,000",—,—,—,Public,"Apr 18, 2019",ZM
StubHub,"San Francisco,California,United States",StubHub is an online ticket marketplace.,2000,"Eric Baker,Jeff Fluhr",1001-5000,M&A,"Dec 23, 2021",Venture - Series Unknown,$100M to $500M,www.stubhub.com,"StubHub is the ticket marketplace, enabling fans to buy and sell tickets to tens of thousands of sports, concert, theater and other live entertainment events.","€35,000,000","Allen & Company,Digital Fuel Capital,Stephens Group,Viagogo,BEA Systems","$59,231,046",Digital Fuel Capital,"Sep 8, 2021",—,Private,—,—
